Start - 2023-05-15 11:09:48 - 
20230515220252 - 2023-05-15 22:02:52: Invalid object name 'dbo.TSK_DuAn_TrangThai'.
20230515220252 - 2023-05-15 22:02:52: Invalid object name 'dbo.TSK_DuAn_TrangThai'.
20230515220258 - 2023-05-15 22:02:58: Invalid object name 'dbo.TSK_DuAn_TrangThai'.
20230515220258 - 2023-05-15 22:02:58: Invalid object name 'dbo.TSK_DuAn_TrangThai'.
20230515220720 - 2023-05-15 22:07:20: Invalid object name 'dbo.TSK_DuAn_TrangThai'.
20230515220720 - 2023-05-15 22:07:20: Invalid object name 'dbo.TSK_DuAn_TrangThai'.
20230515220737 - 2023-05-15 22:07:37: Invalid object name 'dbo.TSK_DuAn_TrangThai'.
20230515220737 - 2023-05-15 22:07:37: Invalid object name 'dbo.TSK_DuAn_TrangThai'.
20230515220809 - 2023-05-15 22:08:09: Invalid object name 'dbo.TSK_DuAn_TrangThai'.
20230515220809 - 2023-05-15 22:08:09: Invalid object name 'dbo.TSK_DuAn_TrangThai'.
